Pynput Format,Code
Key.alt,ALT
Key.alt_l,ALT
Key.alt_r,ALT
Key.shift,SHIFT
Key.shift_l,SHIFT
Key.shift_r,SHIFT
Key.ctrl,CTRL
Key.ctrl_l,CTRL
Key.ctrl_r,CTRL
Key.backspace,BACKSPACE
Key.caps_lock,CAPSLOCK
Key.cmd,CMD
Key.cmd_l,CMD_L
Key.cmd_r,CMD_R
Key.delete,DELETE
Key.down,DOWN
Key.end,END
Key.enter,ENTER
Key.esc,ESC
Key.f1,F1
Key.f2,F2
Key.f3,F3
Key.f4,F4
Key.f5,F5
Key.f6,F6
Key.f7,F7
Key.f8,F8
Key.f9,F9
Key.f10,F10
Key.f11,F11
Key.f12,F12
Key.f13,F13
Key.f14,F14
Key.f15,F15
Key.f16,F16
Key.f17,F17
Key.f18,F18
Key.f19,F19
Key.f20,F20
Key.f21,F21
Key.f22,F22
Key.f23,F23
Key.f24,F24
Key.num_lock,NUMLOCK
Key.page_down,PGDN
Key.page_up,PGUP
Key.pause,PAUSE
Key.print_screen,PRINTSCREEN
Key.insert,INSERT
Key.left,LEFT
Key.menu,MENU
Key.num_lock,NUMPAD0
Key.num_lock,NUMPAD1
Key.num_lock,NUMPAD2
Key.num_lock,NUMPAD3
Key.num_lock,NUMPAD4
Key.num_lock,NUMPAD5
Key.num_lock,NUMPAD6
Key.num_lock,NUMPAD7
Key.num_lock,NUMPAD8
Key.num_lock,NUMPAD9
Key.num_lock,NUMPADMULT
Key.num_lock,NUMPADADD
Key.num_lock,NUMPADSUB
Key.num_lock,NUMPADDOT
Key.num_lock,NUMPADDIV
Key.space,SPACE
Key.tab,TAB
Key.up,UP
Key.browse_back,BROWSER_BACK
Key.browse_forward,BROWSER_FORWARD
Key.browse_refresh,BROWSER_REFRESH
Key.browse_stop,BROWSER_STOP
Key.browse_search,BROWSER_SEARCH
Key.browse_favorites,BROWSER_FAVORITES
Key.browse_home,BROWSER_HOME
Key.volume_mute,VOLUME_MUTE
Key.volume_down,VOLUME_DOWN
Key.volume_up,VOLUME_UP
Key.media_next,MEDIA_NEXT
Key.media_prev,MEDIA_PREV
Key.media_stop,MEDIA_STOP
Key.media_play_pause,MEDIA_PLAY_PAUSE
Key.launch_mail,LAUNCH_MAIL
Key.launch_media,LAUNCH_MEDIA
Key.launch_app1,LAUNCH_APP1
Key.launch_app2,LAUNCH_APP2
Key.left_bracket,[
Key.backslash,\
Key.right_bracket,]
